,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
265,Glass,2019,PG-13,"['Drama', ' Horror', ' Sci-Fi']",129,6.6,43,251688,66
266,Men in Black 3,2012,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.8,58,371199,68
267,The Butterfly Effect,2004,R,"['Drama', ' Sci-Fi', ' Thriller']",113,7.6,30,499302,76
268,Looper,2012,R,"['Action', ' Drama', ' Sci-Fi']",119,7.4,84,585124,74
269,WarGames,1983,PG,"['Action', ' Drama', ' Sci-Fi']",114,7.1,77,103705,71
270,John Carter,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,6.6,51,277879,66
271,Stargate,1994,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,7,42,196083,70
272,Hellboy,2019,R,"['Action', ' Adventure', ' Fantasy']",120,5.2,31,93359,52
273,Total Recall,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,6.2,43,258975,62
274,The Forgotten,2004,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",91,5.8,43,67155,58
275,Big Hero 6,2014,PG,"['Animation', ' Action', ' Adventure']",102,7.8,74,473277,78
276,Atlantis: The Lost Empire,2001,PG,"['Animation', ' Action', ' Adventure']",95,6.9,52,125183,69
277,Spider-Man 2,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.4,83,668016,74
278,Samaritan,2022,PG-13,"['Action', ' Drama', ' Fantasy']",102,5.7,45,49368,57
279,The New Mutants,2020,PG-13,"['Action', ' Horror', ' Mystery']",94,5.3,43,83284,53
280,The Bad Batch,2016,R,"['Action', ' Horror', ' Mystery']",118,5.2,62,33234,52
281,I Am Legend,2007,PG-13,"['Action', ' Drama', ' Horror']",101,7.2,65,775767,72
282,1984,1984,R,"['Drama', ' Sci-Fi']",113,7.1,67,74478,71
283,"Honey, I Shrunk the Kids",1989,PG,"['Adventure', ' Comedy', ' Family']",93,6.4,63,159348,64
284,Iron Man 2,2010,PG-13,"['Action', ' Sci-Fi']",124,6.9,57,832228,69
285,Men in Black II,2002,PG-13,"['Action', ' Adventure', ' Comedy']",88,6.2,49,384643,62
286,Downsizing,2017,R,"['Drama', ' Fantasy', ' Sci-Fi']",135,5.8,63,115059,58
287,Journey to the Center of the Earth,2008,PG,"['Action', ' Adventure', ' Family']",93,5.8,57,126419,58
288,Isle of Dogs,2018,PG-13,"['Animation', ' Adventure', ' Comedy']",101,7.8,82,175668,78
289,Masters of the Universe,1987,PG,"['Action', ' Adventure', ' Fantasy']",106,5.3,35,42215,53
290,Love and Monsters,2020,PG-13,"['Action', ' Adventure', ' Comedy']",109,6.9,63,133322,69
291,Back to the Future Part II,1989,PG,"['Adventure', ' Comedy', ' Sci-Fi']",108,7.8,57,545035,78
292,Space Jam: A New Legacy,2021,PG,"['Animation', ' Adventure', ' Comedy']",115,4.5,36,74972,45
293,Minions,2015,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,56,245588,64
294,Mars Attacks!,1996,PG-13,"['Comedy', ' Sci-Fi']",106,6.4,52,233427,64
295,The Host,2006,R,"['Drama', ' Horror', ' Sci-Fi']",120,7.1,85,125999,71
296,Chaos Walking,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",109,5.7,38,51792,57
297,Time Bandits,1981,PG,"['Adventure', ' Comedy', ' Fantasy']",110,6.9,79,65544,69
298,Treasure Planet,2002,PG,"['Animation', ' Adventure', ' Family']",95,7.2,60,123962,72
299,"I, Robot",2004,PG-13,"['Action', ' Mystery', ' Sci-Fi']",115,7.1,59,552023,71
300,Demolition Man,1993,R,"['Action', ' Sci-Fi', ' Thriller']",115,6.7,34,182777,67
301,Paul,2011,R,"['Adventure', ' Comedy', ' Sci-Fi']",104,6.9,57,257982,69
302,Dark City,1998,R,"['Fantasy', ' Mystery', ' Sci-Fi']",100,7.6,66,204126,76
303,Hellboy,2004,PG-13,"['Action', ' Adventure', ' Fantasy']",122,6.8,72,336942,68
304,Splice,2009,R,"['Horror', ' Sci-Fi']",104,5.8,66,99270,58
305,Barbarella,1968,Approved,"['Adventure', ' Comedy', ' Fantasy']",98,5.9,51,36012,59
306,R.I.P.D.,2013,PG-13,"['Action', ' Adventure', ' Comedy']",96,5.6,25,138934,56
307,The 5th Wave,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,5.2,33,112722,52
308,Gattaca,1997,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",106,7.8,64,310773,78
309,Waterworld,1995,PG-13,"['Action', ' Adventure', ' Sci-Fi']",177,6.3,56,201340,63
310,Escape Room: Tournament of Champions,2021,PG-13,"['Action', ' Adventure', ' Horror']",88,5.7,48,49353,57
311,Rampage,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,6.1,45,173961,61
312,Robots,2005,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,64,153028,64
313,Transformers: Revenge of the Fallen,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,5.9,35,413173,59
314,The Amazing Spider-Man 2,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,6.6,53,509627,66
315,Snake Eyes,2021,PG-13,"['Action', ' Adventure', ' Crime']",121,5.4,43,41087,54
316,A Cure for Wellness,2016,R,"['Drama', ' Fantasy', ' Horror']",146,6.4,47,103163,64
317,Star Trek: First Contact,1996,PG-13,"['Action', ' Adventure', ' Drama']",111,7.6,71,128125,76
318,They Live,1988,R,"['Action', ' Horror', ' Sci-Fi']",94,7.2,55,135050,72
319,Terminator 3: Rise of the Machines,2003,R,"['Action', ' Sci-Fi']",109,6.3,66,406410,63
320,The Dead Don't Die,2019,R,"['Comedy', ' Fantasy', ' Horror']",104,5.4,53,81532,54
321,Real Steel,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",127,7,56,338367,70
322,Speed Racer,2008,PG,"['Action', ' Adventure', ' Comedy']",135,6,37,75725,60
323,Meet Cute,2022,TV-MA,"['Comedy', ' Drama', ' Fantasy']",89,5.7,50,8326,57
324,G.I. Joe: The Rise of Cobra,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,5.7,32,211376,57
325,Jurassic Park III,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",92,5.9,42,329081,59
326,The Incredible Hulk,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,61,502561,66
327,Serenity,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,7.8,74,299502,78
328,The Mitchells vs the Machines,2021,PG,"['Animation', ' Adventure', ' Comedy']",114,7.6,81,114537,76
329,Dragonball Evolution,2009,PG,"['Action', ' Adventure', ' Fantasy']",85,2.5,45,76462,25
330,Geostorm,2017,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,5.3,21,111814,53
331,Underwater,2020,PG-13,"['Action', ' Horror', ' Sci-Fi']",95,5.8,48,87080,58
332,Metropolis,1927,Not Rated,"['Drama', ' Sci-Fi']",153,8.3,98,177454,83
333,Ralph Breaks the Internet,2018,PG,"['Animation', ' Adventure', ' Comedy']",112,7,71,168078,70
334,Alien³,1992,R,"['Action', ' Horror', ' Sci-Fi']",114,6.4,59,306318,64
335,Vesper,2022,Not Rated,"['Adventure', ' Drama', ' Sci-Fi']",114,5.9,70,17039,59
336,Journey 2: The Mysterious Island,2012,PG,"['Action', ' Adventure', ' Comedy']",94,5.7,41,107369,57
337,Deep Blue Sea,1999,R,"['Action', ' Adventure', ' Sci-Fi']",105,5.9,54,136839,59
338,Melancholia,2011,R,"['Drama', ' Sci-Fi']",135,7.1,80,187299,71
339,Moon,2009,R,"['Drama', ' Mystery', ' Sci-Fi']",97,7.8,67,365453,78
340,Zathura: A Space Adventure,2005,PG,"['Action', ' Adventure', ' Comedy']",101,6.2,67,108785,62
341,Push,2009,PG-13,"['Action', ' Sci-Fi', ' Thriller']",111,6.1,36,113221,61
342,Source Code,2011,PG-13,"['Action', ' Drama', ' Mystery']",93,7.5,74,529221,75
343,Possessor,2020,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.5,72,40140,65
344,The Road Warrior,1981,R,"['Action', ' Adventure', ' Sci-Fi']",96,7.6,77,185221,76
345,What Happened to Monday,2017,TV-MA,"['Action', ' Crime', ' Fantasy']",123,6.8,47,127347,68
346,The Happening,2008,R,"['Adventure', ' Drama', ' Sci-Fi']",91,5,34,211125,50
347,Bicentennial Man,1999,PG,"['Drama', ' Sci-Fi']",132,6.9,42,120368,69
348,Secret Headquarters,2022,PG,"['Action', ' Adventure', ' Comedy']",104,5.1,47,6498,51
349,Critters,1986,PG-13,"['Comedy', ' Horror', ' Sci-Fi']",86,6.1,52,36985,61
350,Equilibrium,2002,R,"['Action', ' Drama', ' Sci-Fi']",107,7.3,33,337219,73
351,Close Encounters of the Third Kind,1977,PG,"['Drama', ' Sci-Fi']",138,7.6,90,207409,76
352,Teenage Mutant Ninja Turtles,2014,PG-13,"['Action', ' Adventure', ' Comedy']",101,5.8,31,214030,58
353,The Cell,2000,R,"['Crime', ' Horror', ' Sci-Fi']",107,6.4,40,105094,64
354,The Lego Batman Movie,2017,PG,"['Animation', ' Action', ' Adventure']",104,7.3,75,157872,73
355,In the Shadow of the Moon,2019,TV-MA,"['Action', ' Crime', ' Mystery']",115,6.2,48,55859,62
356,Stalker,1979,Not Rated,"['Drama', ' Sci-Fi']",162,8.1,83,137665,81
357,RoboCop,2014,PG-13,"['Action', ' Crime', ' Sci-Fi']",117,6.1,52,232702,61
358,Transformers: Dark of the Moon,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.2,42,416190,62
359,Cube,1997,R,"['Drama', ' Horror', ' Mystery']",90,7.2,61,237211,72
360,28 Weeks Later,2007,R,"['Action', ' Adventure', ' Horror']",100,6.9,78,282408,69
361,Assassin's Creed,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,5.6,36,202466,56
362,Tron,1982,PG,"['Action', ' Adventure', ' Sci-Fi']",96,6.7,58,124639,67
363,Flash Gordon,1980,PG,"['Action', ' Adventure', ' Sci-Fi']",111,6.5,58,58668,65
364,The World's End,2013,R,"['Action', ' Comedy', ' Sci-Fi']",109,6.9,81,287703,69
365,Level 16,2018,Not Rated,"['Drama', ' Mystery', ' Sci-Fi']",102,6.1,46,13588,61
366,The Island,2005,PG-13,"['Action', ' Sci-Fi', ' Thriller']",136,6.8,50,320309,68
367,Hollow Man,2000,R,"['Action', ' Horror', ' Sci-Fi']",112,5.8,24,133984,58
368,Hot Tub Time Machine,2010,R,"['Comedy', ' Sci-Fi']",101,6.4,63,179331,64
369,Megamind,2010,PG,"['Animation', ' Action', ' Comedy']",95,7.3,63,273501,73
370,Tank Girl,1995,R,"['Action', ' Comedy', ' Sci-Fi']",104,5.3,46,32995,53
371,Superman Returns,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.1,72,286568,61
372,Ghost in the Shell,2017,PG-13,"['Action', ' Crime', ' Drama']",107,6.3,52,219737,63
373,Overlord,2018,R,"['Action', ' Horror', ' Sci-Fi']",110,6.6,60,102105,66
374,Godzilla,1998,PG-13,"['Action', ' Sci-Fi', ' Thriller']",139,5.4,32,196862,54
375,Ghostbusters,2016,PG-13,"['Action', ' Comedy', ' Fantasy']",117,6.8,60,236102,68
376,Terminator Salvation,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,6.5,49,367875,65
377,G.I. Joe: Retaliation,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",110,5.7,41,183858,57
378,The Darkest Minds,2018,PG-13,"['Action', ' Adventure', ' Drama']",104,5.7,39,33757,57
379,Sorry to Bother You,2018,R,"['Comedy', ' Drama', ' Fantasy']",112,6.9,80,83136,69
380,Cloudy with a Chance of Meatballs,2009,PG,"['Animation', ' Adventure', ' Comedy']",90,6.9,66,241887,69
381,Space Jam,1996,PG,"['Animation', ' Adventure', ' Comedy']",88,6.5,59,202943,65
382,Mortal Engines,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",128,6.1,44,130145,61
383,Ghostbusters II,1989,PG,"['Action', ' Comedy', ' Fantasy']",108,6.6,56,212654,66
384,The Fountain,2006,PG-13,"['Drama', ' Mystery', ' Romance']",97,7.2,51,243065,72
385,The Matrix Revolutions,2003,R,"['Action', ' Sci-Fi']",129,6.7,47,523118,67
386,Bill & Ted's Excellent Adventure,1989,PG,"['Adventure', ' Comedy', ' Music']",90,6.9,50,135004,69
387,Never Let Me Go,2010,R,"['Drama', ' Romance', ' Sci-Fi']",103,7.1,69,148594,71
388,Species,1995,R,"['Action', ' Horror', ' Sci-Fi']",108,5.8,49,82045,58
389,The Divergent Series: Insurgent,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,6.2,42,244112,62
390,The Abyss,1989,PG-13,"['Adventure', ' Drama', ' Mystery']",140,7.5,62,182766,75
391,Cocoon,1985,PG-13,"['Comedy', ' Drama', ' Sci-Fi']",117,6.7,65,65505,67
392,Awake,2021,TV-MA,"['Action', ' Adventure', ' Drama']",96,4.9,35,23560,49
393,Battlestar Galactica,1979,TV-PG,"['Action', ' Adventure', ' Sci-Fi']",60,7.2,39,16428,72
394,Unbreakable,2000,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,7.3,62,425882,73
395,The League of Extraordinary Gentlemen,2003,PG-13,"['Action', ' Adventure', ' Fantasy']",110,5.8,30,179118,58
396,Gemini Man,2019,PG-13,"['Action', ' Sci-Fi', ' Thriller']",117,5.7,38,116243,57
397,Star Trek: Nemesis,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.4,51,81209,64
398,The Discovery,2017,TV-MA,"['Drama', ' Romance', ' Sci-Fi']",102,6.2,54,35615,62
399,Mortal Kombat,1995,PG-13,"['Action', ' Adventure', ' Fantasy']",101,5.8,60,120521,58
400,Star Trek Into Darkness,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.7,72,488265,77
401,Back to the Future Part III,1990,PG,"['Adventure', ' Comedy', ' Sci-Fi']",118,7.4,55,457949,74
402,Mighty Morphin Power Rangers,1995,PG,"['Action', ' Adventure', ' Family']",95,5.2,40,28597,52
403,Star Wars: The Clone Wars,2008,PG,"['Animation', ' Action', ' Adventure']",98,5.9,35,68552,59
404,Jumper,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",88,6.1,35,312518,61
405,Significant Other,2022,R,"['Drama', ' Mystery', ' Sci-Fi']",84,5.7,57,8889,57
406,The Munsters,2022,PG,"['Comedy', ' Family', ' Fantasy']",109,4.5,57,10005,45
407,Superman II,1980,PG,"['Action', ' Adventure', ' Sci-Fi']",127,6.8,83,110229,68
408,Brazil,1985,R,"['Drama', ' Sci-Fi']",132,7.9,84,204399,79
409,Green Lantern,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,5.5,39,289166,55
410,Howard the Duck,1986,PG,"['Action', ' Adventure', ' Comedy']",110,4.7,28,48601,47
411,Resident Evil: Apocalypse,2004,R,"['Action', ' Horror', ' Sci-Fi']",94,6.1,35,203670,61
412,Maze Runner: The Death Cure,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,6.2,50,147910,62
413,The Midnight Sky,2020,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",118,5.7,58,85808,57
414,Meet the Robinsons,2007,G,"['Animation', ' Adventure', ' Comedy']",95,6.8,61,104545,68
415,Star Trek: Generations,1994,PG,"['Action', ' Adventure', ' Mystery']",118,6.6,55,84041,66
416,The Hitchhiker's Guide to the Galaxy,2005,PG,"['Adventure', ' Comedy', ' Sci-Fi']",109,6.7,63,202062,67
417,Mission to Mars,2000,PG,"['Adventure', ' Sci-Fi', ' Thriller']",114,5.6,34,74709,56
418,PAW Patrol: The Movie,2021,G,"['Animation', ' Action', ' Adventure']",86,6.1,50,6880,61
419,Alien: Resurrection,1997,R,"['Action', ' Horror', ' Sci-Fi']",109,6.2,63,253060,62
420,The Core,2003,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,5.5,48,103714,55
421,Titane,2021,R,"['Drama', ' Horror', ' Sci-Fi']",108,6.5,75,49351,65
422,Despicable Me 2,2013,PG,"['Animation', ' Adventure', ' Comedy']",98,7.3,62,408499,73
423,Allegiant,2016,PG-13,"['Action', ' Adventure', ' Mystery']",120,5.7,33,126731,57
424,"Dude, Where's My Car?",2000,PG-13,"['Comedy', ' Mystery', ' Sci-Fi']",83,5.5,30,142299,55
425,The Dark Tower,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",95,5.6,34,141491,56
426,Surrogates,2009,PG-13,"['Action', ' Sci-Fi', ' Thriller']",89,6.3,45,177344,63
427,Short Circuit,1986,PG,"['Comedy', ' Family', ' Sci-Fi']",98,6.6,50,63760,66
428,Twilight Zone: The Movie,1983,PG,"['Horror', ' Sci-Fi']",101,6.4,44,39258,64
429,Despicable Me 3,2017,PG,"['Animation', ' Adventure', ' Comedy']",89,6.2,49,141484,62
430,Resident Evil: Retribution,2012,R,"['Action', ' Horror', ' Sci-Fi']",95,5.3,39,145549,53
431,Ender's Game,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.6,51,245599,66
432,Bolt,2008,PG,"['Animation', ' Adventure', ' Comedy']",96,6.8,67,217626,68
433,Innerspace,1987,PG,"['Action', ' Adventure', ' Comedy']",120,6.8,66,62340,68
434,Flight of the Navigator,1986,PG,"['Adventure', ' Comedy', ' Family']",90,6.9,64,49695,69
435,Mad God,2021,Unrated,"['Animation', ' Fantasy', ' Horror']",83,6.8,80,11018,68
436,Maze Runner: The Scorch Trials,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.3,43,259134,63
437,Lifeforce,1985,R,"['Action', ' Horror', ' Mystery']",101,6.1,50,27222,61
438,Ghost in the Shell,1995,TV-MA,"['Animation', ' Action', ' Crime']",83,7.9,76,147376,79
439,Project Wolf Hunting,2022,,"['Action', ' Crime', ' Horror']",122,6.1,53,3531,61
440,Logan's Run,1976,PG,"['Action', ' Adventure', ' Sci-Fi']",119,6.8,53,58602,68
441,The Time Machine,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",96,6,42,126718,60
442,The Iron Giant,1999,PG,"['Animation', ' Action', ' Adventure']",86,8.1,85,206936,81
443,Bubble Boy,2001,PG-13,"['Adventure', ' Comedy', ' Romance']",84,5.7,41,34086,57
444,Strange Days,1995,R,"['Crime', ' Drama', ' Sci-Fi']",145,7.2,66,74951,72
445,Chronicle,2012,PG-13,"['Action', ' Drama', ' Sci-Fi']",84,7,69,255921,70
446,After Yang,2021,PG,"['Drama', ' Sci-Fi']",96,6.7,78,18188,67
447,Voyagers,2021,PG-13,"['Adventure', ' Sci-Fi', ' Thriller']",108,5.4,44,23415,54
448,Dark Skies,2013,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",97,6.3,50,77382,63
449,Zoom,2006,PG,"['Action', ' Adventure', ' Comedy']",83,4.3,26,21879,43
450,Superhero Movie,2008,PG-13,"['Action', ' Comedy', ' Sci-Fi']",75,4.6,33,71611,46
451,I Origins,2014,R,"['Drama', ' Mystery', ' Romance']",106,7.3,57,128425,73
452,The Cloverfield Paradox,2018,PG-13,"['Action', ' Adventure', ' Horror']",102,5.5,37,108289,55
453,Fantastic Four,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",106,5.7,40,334930,57
454,It Comes at Night,2017,R,"['Drama', ' Horror', ' Mystery']",91,6.2,78,97320,62
455,Blade: Trinity,2004,R,"['Action', ' Horror', ' Sci-Fi']",113,5.8,38,181836,58
456,Escape from New York,1981,R,"['Action', ' Adventure', ' Sci-Fi']",99,7.1,76,147990,71
457,Pacific Rim: Uprising,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",111,5.6,44,120628,56
458,Blade II,2002,R,"['Action', ' Horror', ' Sci-Fi']",117,6.7,52,224464,67
459,High Life,2018,R,"['Adventure', ' Drama', ' Horror']",113,5.8,78,37746,58
460,The Day the Earth Stood Still,2008,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",104,5.5,40,173525,55
461,Men in Black: International,2019,PG-13,"['Action', ' Adventure', ' Comedy']",114,5.6,38,138662,56
462,Chip 'n Dale: Rescue Rangers,2022,PG,"['Animation', ' Action', ' Adventure']",97,7,66,43057,70
463,"I, Frankenstein",2014,PG-13,"['Action', ' Fantasy', ' Sci-Fi']",92,5.1,30,82335,51
464,Piranha 3DD,2012,R,"['Comedy', ' Horror', ' Sci-Fi']",83,3.8,24,43863,38
465,Color Out of Space,2019,Unrated,"['Horror', ' Mystery', ' Sci-Fi']",111,6.2,70,51137,62
466,The Rocketeer,1991,PG,"['Action', ' Adventure', ' Family']",108,6.5,61,59459,65
467,The Wandering Earth,2019,TV-MA,"['Action', ' Adventure', ' Sci-Fi']",125,5.9,57,33200,59
468,Bill & Ted Face the Music,2020,PG-13,"['Adventure', ' Comedy', ' Music']",91,5.9,65,49764,59
469,Hulk,2003,PG-13,"['Action', ' Sci-Fi']",138,5.6,54,272008,56
470,The Adventures of Sharkboy and Lavagirl 3-D,2005,PG,"['Action', ' Adventure', ' Comedy']",93,3.7,38,39577,37
471,Bloodshot,2020,PG-13,"['Action', ' Adventure', ' Sci-Fi']",109,5.7,44,80584,57
472,The Lego Movie 2: The Second Part,2019,PG,"['Animation', ' Action', ' Adventure']",107,6.6,65,70168,66
473,Pandorum,2009,R,"['Action', ' Horror', ' Mystery']",108,6.7,28,154349,67
474,The Adjustment Bureau,2011,PG-13,"['Romance', ' Sci-Fi', ' Thriller']",106,7,60,261908,70
475,Blast from the Past,1999,PG-13,"['Comedy', ' Drama', ' Romance']",112,6.7,48,68488,67
476,The Wandering Earth II,2023,,"['Action', ' Adventure', ' Drama']",173,7.6,56,8324,76
477,Chappie,2015,R,"['Action', ' Crime', ' Drama']",120,6.8,41,258032,68
478,Mystery Men,1999,PG-13,"['Action', ' Comedy', ' Fantasy']",121,6.1,65,68568,61
479,The Return of the Living Dead,1985,R,"['Comedy', ' Horror', ' Sci-Fi']",91,7.3,66,64032,73
480,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,"['Action', ' Adventure', ' Comedy']",112,5.9,40,95635,59
481,Frequency,2000,PG-13,"['Crime', ' Drama', ' Mystery']",118,7.4,67,111119,74
482,The Island of Dr. Moreau,1996,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",96,4.5,37,34341,45
483,Soylent Green,1973,PG,"['Crime', ' Mystery', ' Sci-Fi']",97,7,66,67167,70
484,Star Trek II: The Wrath of Khan,1982,PG,"['Action', ' Adventure', ' Sci-Fi']",113,7.7,68,124615,77
485,The Endless,2017,Not Rated,"['Drama', ' Fantasy', ' Horror']",111,6.5,80,45182,65
486,Deja Vu,2006,PG-13,"['Action', ' Crime', ' Sci-Fi']",126,7.1,59,316674,71
487,Jung_E,2023,TV-14,"['Action', ' Adventure', ' Drama']",98,5.4,52,8686,54
488,The Silence,2019,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,5.3,25,47525,53
489,Star Trek: The Motion Picture,1979,G,"['Adventure', ' Mystery', ' Sci-Fi']",143,6.4,50,92743,64
490,Hellboy II: The Golden Army,2008,PG-13,"['Action', ' Adventure', ' Fantasy']",120,7,78,277311,70
491,Jupiter Ascending,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,5.3,40,190848,53
492,Monsters vs. Aliens,2009,PG,"['Animation', ' Action', ' Adventure']",94,6.4,56,168014,64
493,Disaster Movie,2008,PG-13,"['Comedy', ' Sci-Fi']",87,1.9,15,92646,19
494,In the Tall Grass,2019,TV-MA,"['Horror', ' Mystery', ' Sci-Fi']",101,5.4,46,59290,54
495,Resident Evil: The Final Chapter,2016,R,"['Action', ' Horror', ' Sci-Fi']",107,5.5,49,96872,55
496,Invasion of the Body Snatchers,1978,PG,"['Horror', ' Sci-Fi']",115,7.4,75,63436,74
497,Forbidden Planet,1956,G,"['Adventure', ' Sci-Fi']",98,7.5,80,50869,75
498,The Outwaters,2022,Not Rated,"['Horror', ' Sci-Fi', ' Thriller']",110,4.1,72,2472,41
499,Boss Level,2020,TV-MA,"['Action', ' Adventure', ' Comedy']",100,6.8,56,71709,68
500,Predators,2010,R,"['Action', ' Adventure', ' Fantasy']",107,6.4,51,236008,64
501,I Am Number Four,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",111,6.1,36,241224,61
502,Scanners,1981,R,"['Horror', ' Sci-Fi', ' Thriller']",103,6.7,60,58074,67
503,Death Race,2008,R,"['Action', ' Sci-Fi', ' Thriller']",105,6.4,43,212811,64
504,Evolution,2001,PG-13,"['Comedy', ' Sci-Fi']",101,6.1,40,131824,61
505,Mad Max Beyond Thunderdome,1985,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,6.2,71,140665,62
506,The Host,2013,PG-13,"['Action', ' Adventure', ' Drama']",125,5.8,35,116540,58
507,Brightburn,2019,R,"['Drama', ' Horror', ' Mystery']",90,6.1,44,101660,61
508,The Emoji Movie,2017,PG,"['Animation', ' Adventure', ' Comedy']",86,3.4,12,66823,34
509,Videodrome,1983,R,"['Horror', ' Sci-Fi', ' Thriller']",87,7.2,60,96905,72
510,Star Trek VI: The Undiscovered Country,1991,PG,"['Action', ' Adventure', ' Sci-Fi']",110,7.2,65,77835,72
511,Pi,1998,R,"['Drama', ' Horror', ' Mystery']",84,7.3,72,182149,73
512,Fantastic Four: Rise of the Silver Surfer,2007,PG,"['Action', ' Adventure', ' Fantasy']",92,5.6,45,270191,56
513,Spy Kids 3: Game Over,2003,PG,"['Action', ' Adventure', ' Comedy']",84,4.3,57,62636,43
514,Alien vs. Predator,2004,PG-13,"['Action', ' Adventure', ' Horror']",101,5.6,29,204816,56
515,Extinction,2018,TV-MA,"['Action', ' Drama', ' Sci-Fi']",95,5.8,40,54784,58
516,Project Power,2020,R,"['Action', ' Crime', ' Sci-Fi']",113,6,51,92360,60
517,Chicken Little,2005,G,"['Animation', ' Adventure', ' Comedy']",81,5.7,48,95952,57
518,Stowaway,2021,TV-MA,"['Adventure', ' Sci-Fi', ' Thriller']",116,5.6,63,48447,56
519,Left Behind,2014,PG-13,"['Action', ' Fantasy', ' Sci-Fi']",110,3.1,12,40868,31
520,Resident Evil: Extinction,2007,R,"['Action', ' Horror', ' Sci-Fi']",94,6.2,41,199510,62
521,I Am Mother,2019,TV-14,"['Drama', ' Mystery', ' Sci-Fi']",113,6.7,64,94116,67
522,The Dead Zone,1983,R,"['Drama', ' Horror', ' Sci-Fi']",103,7.2,69,73027,72
523,9,2009,PG-13,"['Animation', ' Action', ' Adventure']",79,7,60,142741,70
524,Mr. Peabody & Sherman,2014,PG,"['Animation', ' Adventure', ' Comedy']",92,6.8,59,73278,68
525,Star Trek: Insurrection,1998,PG,"['Action', ' Adventure', ' Sci-Fi']",103,6.4,64,76969,64
526,Primer,2004,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",77,6.8,68,109386,68
527,The Colony,2021,R,"['Action', ' Adventure', ' Sci-Fi']",104,5.4,52,10644,54
528,Bedtime Stories,2008,PG,"['Adventure', ' Comedy', ' Family']",99,6,33,97766,60
529,The Last Starfighter,1984,PG,"['Action', ' Adventure', ' Sci-Fi']",101,6.7,67,43881,67
530,The Toxic Avenger,1984,R,"['Action', ' Comedy', ' Horror']",82,6.2,42,29898,62
531,Firestarter,2022,R,"['Drama', ' Horror', ' Sci-Fi']",94,4.6,32,18093,46
532,Nausicaä of the Valley of the Wind,1984,PG,"['Animation', ' Adventure', ' Sci-Fi']",117,8,86,173127,80
533,Mute,2018,TV-MA,"['Mystery', ' Sci-Fi', ' Thriller']",126,5.4,35,36584,54
534,Real Genius,1985,PG,"['Comedy', ' Romance', ' Sci-Fi']",108,6.9,71,35857,69
