,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
59,Avengers: Infinity War,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,68,1112182,84
60,Star Wars: Episode VIII - The Last Jedi,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",152,6.9,84,644284,69
61,Superman,1978,PG,"['Action', ' Adventure', ' Sci-Fi']",143,7.4,82,179312,74
62,Doctor Strange in the Multiverse of Madness,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",126,6.9,60,433663,69
63,Lucy,2014,R,"['Action', ' Sci-Fi', ' Thriller']",89,6.4,61,508600,64
64,Eternals,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",156,6.3,52,354883,63
65,A Quiet Place Part II,2020,PG-13,"['Drama', ' Horror', ' Sci-Fi']",97,7.2,71,244020,72
66,The Fifth Element,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.6,52,483598,76
67,Star Wars: Episode V - The Empire Strikes Back,1980,PG,"['Action', ' Adventure', ' Fantasy']",124,8.7,82,1313665,87
68,Black Panther,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88,797168,73
69,Aliens,1986,R,"['Action', ' Adventure', ' Sci-Fi']",137,8.4,84,729043,84
70,Annihilation,2018,R,"['Adventure', ' Drama', ' Horror']",115,6.8,79,336712,68
71,Jurassic World,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,59,654148,69
72,The Terminator,1984,R,"['Action', ' Sci-Fi']",107,8.1,84,880977,81
73,Spider-Man,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",121,7.4,73,833370,74
74,Dune,1984,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.3,41,164966,63
75,Ex Machina,2014,R,"['Drama', ' Sci-Fi', ' Thriller']",108,7.7,78,558043,77
76,Ghostbusters: Afterlife,2021,PG-13,"['Adventure', ' Comedy', ' Fantasy']",124,7.1,45,190436,71
77,Logan,2017,R,"['Action', ' Drama', ' Sci-Fi']",137,8.1,77,781815,81
78,Zack Snyder's Justice League,2021,R,"['Action', ' Adventure', ' Fantasy']",242,8,54,409440,80
79,E.T. the Extra-Terrestrial,1982,PG,"['Adventure', ' Family', ' Sci-Fi']",115,7.9,91,418864,79
80,A Quiet Place,2018,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82,545470,75
81,Deadpool 2,2018,R,"['Action', ' Adventure', ' Comedy']",119,7.6,66,599920,76
82,Rise of the Planet of the Apes,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",105,7.6,68,538016,76
83,Valerian and the City of a Thousand Planets,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",136,6.4,51,186865,64
84,Transformers,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,7,61,648568,70
85,Suicide Squad,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",123,5.9,40,696534,59
86,The Martian,2015,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",144,8,80,873883,80
87,The Avengers,2012,PG-13,"['Action', ' Sci-Fi']",143,8,69,1409609,80
88,Guardians of the Galaxy Vol. 2,2017,PG-13,"['Action', ' Adventure', ' Comedy']",136,7.6,67,698898,76
89,Independence Day,1996,PG-13,"['Action', ' Adventure', ' Sci-Fi']",145,7,59,584344,70
90,Event Horizon,1997,R,"['Horror', ' Sci-Fi', ' Thriller']",96,6.6,35,186731,66
91,Contact,1997,PG,"['Drama', ' Mystery', ' Sci-Fi']",150,7.5,62,280991,75
92,The Invisible Man,2020,R,"['Drama', ' Horror', ' Mystery']",124,7.1,72,235776,71
93,Iron Man,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.9,79,1076557,79
94,Sonic the Hedgehog,2020,PG,"['Action', ' Adventure', ' Comedy']",99,6.5,47,145506,65
95,Edge of Tomorrow,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,7.9,71,695363,79
96,Reminiscence,2021,PG-13,"['Mystery', ' Romance', ' Sci-Fi']",116,5.9,46,59322,59
97,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",140,7.6,68,806867,76
98,Crimes of the Future,2022,R,"['Drama', ' Horror', ' Sci-Fi']",107,5.9,67,33824,59
99,Solo: A Star Wars Story,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,6.9,62,357792,69
100,Minions: The Rise of Gru,2022,PG,"['Animation', ' Adventure', ' Comedy']",87,6.5,56,72829,65
101,Riddick,2013,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.4,49,171840,64
102,Jurassic World: Fallen Kingdom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",128,6.1,51,325346,61
103,DC League of Super-Pets,2022,PG,"['Animation', ' Action', ' Adventure']",105,7.2,56,68144,72
104,Children of Men,2006,R,"['Action', ' Drama', ' Sci-Fi']",109,7.9,84,509402,79
105,Star Wars: Episode II - Attack of the Clones,2002,PG,"['Action', ' Adventure', ' Fantasy']",142,6.6,54,725183,66
106,Idiocracy,2006,R,"['Adventure', ' Comedy', ' Sci-Fi']",84,6.5,66,169064,65
107,Ghostbusters,1984,PG,"['Action', ' Comedy', ' Fantasy']",105,7.8,71,423850,78
108,The Lobster,2015,R,"['Drama', ' Romance', ' Sci-Fi']",119,7.1,82,267251,71
109,Watchmen,2009,R,"['Action', ' Drama', ' Mystery']",162,7.6,56,560900,76
110,The Platform,2019,TV-MA,"['Horror', ' Sci-Fi', ' Thriller']",94,7,73,240644,70
111,Prometheus,2012,R,"['Adventure', ' Mystery', ' Sci-Fi']",124,7,64,619388,70
112,Home,2015,PG,"['Animation', ' Adventure', ' Comedy']",94,6.6,55,105979,66
113,X-Men,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,7.3,64,625042,73
114,War for the Planet of the Apes,2017,PG-13,"['Action', ' Adventure', ' Drama']",140,7.4,82,264813,74
115,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",132,7.4,71,397334,74
116,Divergent,2014,PG-13,"['Action', ' Adventure', ' Mystery']",139,6.6,48,469685,66
117,Face/Off,1997,R,"['Action', ' Crime', ' Sci-Fi']",138,7.3,82,385344,73
118,Strange World,2022,PG,"['Animation', ' Action', ' Adventure']",102,5.6,65,38341,56
119,The Adam Project,2022,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.7,55,211237,67
